en,pl
already,już
Suddenly,Wtem
close (to a place),krok
cafeteria,bufet
all in all,sumie
sit,usiąść
Sure,Pewnie
in the countryside,na wieś
watch,zegarek
soon,wkrótce
foggy,mglisty
café,bufecie
Unfortunately,Niestety
he thought,pomyślał
looked,spojrzał
skyscraper,wieżowca
months,miesięcy
she asked,zapytała
looked,spojrzał
He knew,Wiedział
We will call you back,Odezwiemy
she saw,zauważyła
last,ostatnich
go ahead,Zapraszam
Tomek was,Tomek był
that day,Tego dnia
he had imagined,wyobrażał
highest,najwyższym
he decided,postanowił
holding,trzymająca
Although,Pomimo tego
full of people,pełną ludzi
full of people,pełen ludzi
accelerate,przyspieszać
"on the first floor,","na parterze,"
"have a lunch break,",mają przerwę
for a moment,Przez chwilę
each time,każdym razem
She ordered  coffee,Zamówiła kawę
he stared at,wpatrywał się
not for a moment,ani na chwilę
drink espresso,wypić espresso
he had heard the same,słyszał to samo
Tomek imagined,Tomek wyobraził
document files,plik dokumentów
Before all that,Najpierw jednak
was to begin in 45 minutes,zostało 45 minut
Looking at the street,Patrząc na ulicę
elegantly dressed,elegancko ubrana
exactly one hour,równo za godzinę
traffic lights,światło na ulicy
remained empty,pozostawała pusta
Perhaps the employees,Pewnie pracownicy
holding in the hand,trzymająca w ręku
didn't leave him,nie opuszczało go
the e-mail inbox,skrzynka e-mailowa
what he wants to say,co chce powiedzieć
he hadn’t noticed,nawet nie zauważył
by Tomek's table,przy stoliku Tomka
"At the same moment,",W tej samej chwili
there is a free seat,jest wolne miejsce
"entered the café,",do kawiarni weszła
to his parents’,do swoich rodziców
drinking freshly ground coffee,popijał świeżą kawę
He was sitting at his desk,Siedział przy biurku
give his all,dać z siebie wszystko
Can I sit?,Czy mogę się dosiąść?
really close to the place,już o krok od miejsca
nervous feeling,uczucie zdenerwowania
"Tom's telephone was silent,","telefon Tomka milczał,"
Although he knew,Pomimo tego że wiedział
turned green,zmieniło się na zielone
Looking around the room,Rozglądając się po sali
Tomek decided to sit,Tomek postanowił usiąść
quickly realized,"szybko zorientowała się,"
rushing to their work,spieszących się do pracy
Tomek looked at his watch,Tomek spojrzał na zegarek
The meeting with the recruiter,Do spotkania z rekruterem
"It was a foggy, cold morning","Był mglisty, zimny poranek"
the more he stressed,tym bardziej się stresował
"The longer he practiced,",Im dłużej ćwiczył w myślach
Tomek was so stressed,"Tomek był tak zestresowany,"
plan the interview,zaplanować przebieg rozmowy
"in the last couple of months,",W ciągu  ostatnich miesięcy
ten job interviews,dziesięciu rozmowach o pracę
his dream job,sobie swoją wymarzoną posadę
Tomek was really stressed out,Tomek był bardzo zestresowany
he had nothing to lose,Nie miał już nic do stracenia
We will contact you soon,Odezwiemy się do Pana wkrótce
make a good impression,zrobić jak najlepsze wrażenie
He had only half an hour,Zostało już tylko pół godziny
"if he didn’t get this job,","jeśli nie dostanie tej pracy,"
he would have had to move,będzie musiał wyprowadzić się
Tomek was slowly losing hope,Tomek powoli stracił nadzieję
on the top floor of the skyscraper,na najwyższym piętrze wieżowca
which was to take place in exactly one hour,która miała odbyć się równo za godzinę
"he had to pass the job interview,","musiał przejść rozmowę kwalifikacyjną,"
none of the tables has space,przy żadnym ze stolików nie ma już miejsca
He  stared at the clock hand,"wpatrywał się jeszcze we wskazówkę zegara,"
seemed to move faster and faster,zdawała się przyspieszać z sekundy na sekundę
